"","variable","Low","Medium","High"
"1","Mortality","32.3204419889503","25.4310344827586","25.1295336787565"
"2","Age.mean","65.2486187845304","64.0258620689655","65.0155440414508"
"3","Age.sd","13.728433029054","14.1708757203014","14.0871044221995"
"4","Female Gender","28.1767955801105","23.8505747126437","28.2383419689119"
"5","Race","Race","Race","Race"
"6","White","58.8397790055249","64.367816091954","51.0362694300518"
"7","Black","10.7734806629834","6.75287356321839","15.0259067357513"
"8","Hispanic","8.56353591160221","5.74712643678161","8.80829015544041"
"9","Asian/Pacific Islander","0.552486187845304","2.8735632183908","2.07253886010363"
"10","Native American","0.552486187845304","1.14942528735632","0.259067357512953"
"11","Other","20.7182320441989","19.1091954022989","22.7979274611399"
"12","Socioeconomic status","Socioeconomic status","Socioeconomic status","Socioeconomic status"
"13","$1-$24,999","26.7955801104972","25.1436781609195","39.3782383419689"
"14","$25,000-$34,999","20.7182320441989","25.8620689655172","20.7253886010363"
"15","35,000-$44,999","26.2430939226519","24.1379310344828","17.8756476683938"
"16",">$45,000","23.4806629834254","22.4137931034483","19.6891191709845"
"17","Unknown","2.76243093922652","2.44252873563218","2.33160621761658"
"18","Length of Stay.mean","10.6285714285714","13.2793834296724","14.1626297577855"
"19","Length of Stay.sd","12.8061204629457","15.8086097334348","15.03206715859"
"20","Year","Year","Year","Year"
"21","1998","0","0","0"
"22","1999","0","0","0"
"23","2000","0","0","0"
"24","2001","0","0","0"
"25","2002","0","0","0"
"26","2003","0","0","0"
"27","2004","0.828729281767956","0","0"
"28","2005","4.69613259668508","2.58620689655172","0"
"29","2006","5.24861878453039","1.00574712643678","0"
"30","2007","4.41988950276243","2.1551724137931","0"
"31","2008","11.3259668508287","4.74137931034483","11.6580310880829"
"32","2009","21.5469613259669","26.867816091954","7.51295336787565"
"33","2010","26.5193370165746","25.5747126436782","20.2072538860104"
"34","2011","25.414364640884","37.0689655172414","60.6217616580311"
"35","2012","0","0","0"
"36","Region of hospital","Region of hospital","Region of hospital","Region of hospital"
"37","Northeast","Northeast","Northeast","Northeast"
"38","Midwest","Midwest","Midwest","Midwest"
"39","South","South","South","South"
"40","West","West","West","West"
"41","Unknown","Unknown","Unknown","Unknown"
