"","year","total","support","mortality","hasReoperation","hasARF","hasStroke","hasLiverFailure","hasSepsis","hasRespiratoryFailure"
"1",1998,260,"No",0.05,0.0807692307692308,0.203846153846154,0.0153846153846154,0.00384615384615385,0,0.0384615384615385
"2",1998,10,"Yes",0.2,0.2,0.3,0,0,0,0.1
"3",1999,457,"No",0.109409190371991,0.144420131291028,0.225382932166302,0.0153172866520788,0.00656455142231947,0,0.0634573304157549
"4",1999,17,"Yes",0.294117647058824,0.235294117647059,0.352941176470588,0,0,0,0
"5",2000,322,"No",0.0962732919254658,0.15527950310559,0.242236024844721,0.0186335403726708,0.0248447204968944,0,0.0652173913043478
"6",2000,24,"Yes",0.125,0.25,0.458333333333333,0,0.0416666666666667,0,0.208333333333333
"7",2001,351,"No",0.0683760683760684,0.13960113960114,0.256410256410256,0.0313390313390313,0.0284900284900285,0,0.0740740740740741
"8",2001,23,"Yes",0.173913043478261,0.217391304347826,0.130434782608696,0,0,0,0.173913043478261
"9",2002,322,"No",0.0714285714285714,0.0962732919254658,0.282608695652174,0.0031055900621118,0.0124223602484472,0,0.0496894409937888
"10",2002,23,"Yes",0.0869565217391304,0.217391304347826,0.565217391304348,0.0434782608695652,0.130434782608696,0,0.347826086956522
"11",2003,398,"No",0.0653266331658292,0.128140703517588,0.306532663316583,0.0150753768844221,0.0100502512562814,0,0.0703517587939698
"12",2003,24,"Yes",0.125,0.25,0.583333333333333,0,0.125,0,0.208333333333333
"13",2004,252,"No",0.0753968253968254,0.130952380952381,0.273809523809524,0.00793650793650794,0.0238095238095238,0.0515873015873016,0.0952380952380952
"14",2004,20,"Yes",0.05,0.1,0.4,0,0.1,0.1,0.2
"15",2005,406,"No",0.061576354679803,0.155172413793103,0.285714285714286,0.0147783251231527,0.0147783251231527,0.0689655172413793,0.108374384236453
"16",2005,22,"Yes",0.181818181818182,0.318181818181818,0.636363636363636,0,0.0909090909090909,0.272727272727273,0.363636363636364
"17",2006,344,"No",0.063953488372093,0.125,0.331395348837209,0.0203488372093023,0.0232558139534884,0.0465116279069767,0.0668604651162791
"18",2006,18,"Yes",0.111111111111111,0.222222222222222,0.277777777777778,0,0,0,0.222222222222222
"19",2007,314,"No",0.0509554140127389,0.101910828025478,0.302547770700637,0.0191082802547771,0.0159235668789809,0.0605095541401274,0.117834394904459
"20",2007,18,"Yes",0,0.166666666666667,0.388888888888889,0.0555555555555556,0.111111111111111,0.0555555555555556,0.444444444444444
"21",2008,447,"No",0.0357941834451902,0.136465324384787,0.393736017897092,0.0268456375838926,0.0380313199105145,0.0805369127516778,0.118568232662192
"22",2008,38,"Yes",0.0263157894736842,0.368421052631579,0.578947368421053,0.0263157894736842,0.0526315789473684,0.263157894736842,0.5
"23",2009,405,"No",0.0419753086419753,0.116049382716049,0.45679012345679,0.0172839506172839,0.0518518518518519,0.0814814814814815,0.133333333333333
"24",2009,34,"Yes",0.0882352941176471,0.441176470588235,0.470588235294118,0.0588235294117647,0.0588235294117647,0.117647058823529,0.323529411764706
"25",2010,384,"No",0.0338541666666667,0.158854166666667,0.416666666666667,0.0234375,0.046875,0.0729166666666667,0.111979166666667
"26",2010,30,"Yes",0.1,0.333333333333333,0.7,0.133333333333333,0.2,0.133333333333333,0.2
"27",2011,380,"No",0.0552631578947368,0.215789473684211,0.428947368421053,0.0368421052631579,0.0447368421052632,0.0736842105263158,0.168421052631579
"28",2011,35,"Yes",0.0285714285714286,0.2,0.685714285714286,0.0285714285714286,0.2,0.171428571428571,0.371428571428571
"29",2012,436,"No",0.0642201834862385,0.208715596330275,0.456422018348624,0.0229357798165138,0.055045871559633,0.0825688073394495,0.123853211009174
"30",2012,39,"Yes",0.0256410256410256,0.333333333333333,0.82051282051282,0.0769230769230769,0.179487179487179,0.128205128205128,0.230769230769231
"31",2013,469,"No",0.0405117270788913,0.20682302771855,0.490405117270789,0.0405117270788913,0.0362473347547974,0.102345415778252,0.119402985074627
"32",2013,41,"Yes",0.0731707317073171,0.292682926829268,0.682926829268293,0.121951219512195,0.195121951219512,0.195121951219512,0.24390243902439
"33",2014,486,"No",0.0802469135802469,0.226337448559671,0.553497942386831,0.0493827160493827,0.0596707818930041,0.0967078189300412,0.146090534979424
"34",2014,39,"Yes",0.0256410256410256,0.358974358974359,0.641025641025641,0.0512820512820513,0.179487179487179,0.153846153846154,0.230769230769231
